LocalButton,本地
OnlineButton,在线
HowToPlayButton,教程
FreePlayButton,自由游戏
PublicHeader,公开
PrivateHeader,私人
HostHeader,主机

ExitButton,退出
BackButton,返回
AvailableGamesLabel,可以加入的游戏
CreateGameButton,创建游戏
FindGameButton,寻找游戏
EnterCode,输入代码
GhostIgnoreTasks,你已经死了，乐享混沌吧。
GhostDoTasks,你已经死了，但你可以完成任务取得胜利。
GhostImpostor,你已经死了，但你还可以破坏设施。
ImpostorTask,破坏设施，并且杀光所有人。
FakeTasks,假任务:
TaskComplete,任务完成！
ExileTextSP,{0} 是冒充者。
ExileTextSN,{0} 不是冒充者。
ExileTextPP,{0} 是个冒充者。
ExileTextPN,{0} 不是冒充者。
NoExileSkip,没有人被逐出。（跳过）
NoExileTie,没人被逐出。（平票）
ExileTextNonConfirm,{0} 被驱逐。
ImpostorsRemainS,还有 {0} 个冒充者。
ImpostorsRemainP,还有 {0} 个冒充者。

Hallway,门厅
Engines,引擎室
UpperEngine,上方引擎
Cafeteria,食堂
Weapons,武器库
Reactor,反应堆
Security,安保
MedBay,医疗室
LifeSupp,O2
Nav,指挥室
LowerEngine,下方引擎
Electrical,配电间
Admin,管理室
Storage,储藏室
Shields,防御管理处
Comms,通讯设施
Decontamination,净化室
Launchpad,发射台
LockerRoom,更衣室
Laboratory,实验室
Balcony,阳台
Office,办公室
Greenhouse,温室

DivertPowerTo,把能源转移到 {0}
AcceptDivertedPower,接受能源转移
SubmitScan,提交扫描
PrimeShields,调整防御
FuelEngines,给引擎加油
ChartCourse,航线规划
StartReactor,启动反应堆
SwipeCard,刷卡
ClearAsteroids,扫除小行星
DownloadData,下载数据
UploadData,上传数据
InspectSample,检视样品
EmptyChute,清空陡槽
EmptyGarbage,清空垃圾
AlignEngineOutput,对齐引擎输出
FixWiring,固定接线
CalibrateDistributor,校准配电盘
UnlockManifolds,解锁歧管
ResetReactor,距离反应堆融化只有：
FixLights,修理电灯
CleanO2Filter,清洁氧气过滤器
FixComms,通讯设施遭到破坏
RestoreOxy,距离氧气耗尽只有
StabilizeSteering,稳定转向

AssembleArtifact,组装工件
SortSamples,样品排序
MeasureWeather,测量天气
EnterIdCode,输入 Id 代号
BuyBeverage,购买饮料
ProcessData,处理数据

NumImpostorsS,我们之中有 [FF1919FF]1 个冒充者[]
NumImpostorsP,我们之中有 [FF1919FF]{0} 个冒充者[]

Crewmate,船员
Impostor,冒充者
Victory,胜利
Defeat,失败
CrewmatesDisconnected,大部分船员\n已断开连接
ImpostorDisconnected,冒充者断开连接

PickAnomaly,挑选错误
WaterPlantsGetCan,浇水！
AuthOfficeOkay,办公室 正常
AuthCommsOkay,通信设施 正常
AuthOfficeActive,办公室 激活
AuthCommsActive,通信设施 激活
AuthOfficeNotActive,办公室 未激活
AuthCommsNotActive,通信设施 未激活
SecLogEntry,{0} 经过了 {1} 的传感器
LogNorth,北面
